Group,Contrast,Correlation,Energy,Homogeneity,LBP_Entropy,Gabor_Mean,Wavelet_Energy
Generic,3346.183571373597,0.6379303605507625,0.03530376822128581,0.0968869753998202,4.768703831501298,97.9979581381733,24.611711448598133
Generic,710.2982687793427,0.82942824867327,0.010449507218590766,0.055538031334522224,4.834518139567793,71.314140625,11.345305989583334
Generic,1273.913897260321,0.7722151052883295,0.009773405940100177,0.09428009191766573,4.683275964136549,63.30696301855895,14.585760098253274
Generic,1300.5967502934277,0.8850995956815487,0.01166017307212804,0.12071569816232086,4.641129445597681,56.1939208984375,13.609873046875
Generic,1314.5711218701094,0.8351450585875062,0.011907271808185165,0.10011180717585005,4.762856960248027,62.82934326171875,11.2579150390625
Generic,848.7304959080532,0.7854332761170464,0.008432270112953305,0.0563209681449621,5.13717467574277,86.98712675644028,11.053577686915888
Generic,340.00454873445824,0.9333511407080568,0.01154429498520866,0.08941914321821125,5.0776100226604,51.52677859042553,6.756837322695035
Generic,1514.1122238015246,0.8090941873014024,0.008169367859733498,0.05163839154331472,4.7887200743952345,84.60948609518348,15.572663417431192
Generic,1172.2018583724566,0.8588219668306435,0.03032194284936225,0.11003062253784585,4.93348552125917,75.278759765625,12.479733072916666
Generic,1040.9490382107458,0.7949702236929534,0.009341055580224487,0.07951480850395679,4.8982145872092175,74.27940755208333,12.059342447916666
Generic,1892.2916492171603,0.6997707909248876,0.006750801376354432,0.04735478243142911,4.765188385775725,83.94872725938967,19.707775821596243
Generic,366.53275051652895,0.9327828384275152,0.024611887919086566,0.12416789528896599,4.681603963618706,37.68395472359736,6.948989273927393
Generic,1393.8511117631715,0.7272037596787922,0.009186811212517075,0.06748381376581236,4.997202023901299,77.38191731770833,13.817298177083334
Generic,462.323714770355,0.9371177963982751,0.008803072947603692,0.08522438781456386,4.696146045498124,40.72917317708333,10.58119140625
Generic,2331.7219923708917,0.7740500793979994,0.00966346345625106,0.05608943523091825,4.820221818513035,94.55009521484375,19.39232421875
Generic,620.3701755672928,0.9085749711774074,0.0157384101934381,0.17260592468020827,4.9148294345743775,38.576376953125,7.21361328125
Generic,337.7923555266325,0.9549056637250295,0.015977614573118457,0.14126974681855958,5.072045658751108,24.332905321782178,6.861582095709571
Generic,1237.9376330844814,0.8253258278383465,0.010529251535261373,0.11355206455711914,4.6634231234264085,58.6166825234192,14.065654205607476
Generic,1407.881472726543,0.8252014598008712,0.007038041030448151,0.05845532789518314,4.677186555541589,63.912073863636365,18.130392441860465
Generic,1393.575888848574,0.8686376252768776,0.0073273378800847435,0.0584815539177485,4.566629489627919,62.51652151639344,16.843355724299066
Generic,403.25449889419167,0.9634031005446975,0.012467714451207399,0.16019444988160886,4.945632923915085,55.44169938016529,4.328109529702971
Generic,1132.981528515354,0.9093560733213195,0.016137417160494917,0.13897678073570083,4.685221088969066,60.17495608899297,10.662624123831776
Generic,1591.4524810902453,0.7804014795532191,0.008771724211248801,0.0693328576524165,4.929266300926127,87.158349609375,15.038040364583333
Generic,1042.4037558685445,0.8962632360739843,0.011533183932852645,0.09454413610647247,4.843059387670659,65.32149077868853,11.92542348130841
Generic,1023.5805775625977,0.8515977638138326,0.008439117715496628,0.07149445474821889,4.7312089470823375,64.6640234375,13.4544189453125
Generic,1895.7931582550862,0.7257120375114696,0.007044780651211405,0.048547703209255465,4.925773204696283,95.27151611328125,17.6853369140625
Generic,2847.3281319257876,0.7501611785027306,0.010352763356212095,0.10494122347466968,4.815203074108755,82.2915853805395,16.71792067307692
Generic,1689.741441933253,0.7699127045321079,0.009130740701943852,0.06583422357344317,4.913615456450786,84.4830050872093,15.361853197674419
Generic,592.66181343572,0.9067534459533851,0.011358529044521755,0.12299940208301165,5.049072391284554,62.79498355263158,6.92311487854251
Generic,353.0002445226918,0.962009262624156,0.016289548489549176,0.09922036748666832,4.739205782880022,24.62540283203125,8.478232421875001
Generic,1532.4432973066087,0.7828428216657073,0.007033171291040816,0.0502259937664722,4.772008838528081,83.59291203161592,16.80529351635514
Generic,2446.8322639540947,0.8321238669158282,0.036987383081320685,0.12243367182770723,4.689879540140368,88.29687174479167,14.218587239583334
Generic,731.3944100156494,0.8707725225174265,0.013334785236913744,0.09237370099350928,4.8366046006692125,65.470353125,10.9023625
Generic,400.6709909539474,0.9243208199365616,0.012285198258504803,0.12793719655547078,4.85239704399147,33.82593681619256,7.1174467794759835
Generic,990.7095751673039,0.8795989105682134,0.010191300735156124,0.12383230178146946,4.761713292866132,57.19284947519084,10.760478291984732
Generic,955.0179432189543,0.8495888738692163,0.009294926362060215,0.0806180581998389,4.989037253943716,70.80809033442088,10.690070236156352
Generic,1454.616821814678,0.6131520845055041,0.016214917394314417,0.10790179389962198,4.955615125333823,74.71896510516252,12.934219942748092
Generic,4397.820138549805,0.4548470797920016,0.006579680079476569,0.04492954294914936,4.590469530366185,86.31235075536063,25.022099951361866
Generic,651.3215962441315,0.9331612759169327,0.015748406934759925,0.14394673952595335,4.930968374245269,53.10633544921875,9.2344287109375
Generic,1227.5518078071673,0.8546742376438033,0.08335264262659799,0.17198091383873165,4.7502564234187235,73.3568808560477,11.988924319727891
Generic,171.7604036921708,0.9647239918123336,0.013301380491940075,0.1224977999199795,4.519301424848645,22.791879440497336,5.422190824468085
Generic,1259.3225999216302,0.8440957957514424,0.008517318448114578,0.08509419587183796,4.5845535534659065,60.00258215962441,14.154111328125
Generic,1406.0942611083458,0.8371401567389433,0.013608306485250953,0.08839710178208975,5.0690190619872775,86.85092255717255,12.541253890041494
Generic,603.1500098933319,0.9071942161546948,0.030524720820296444,0.14137847099560238,4.571319500861583,41.47658345306513,8.724113984674329
Generic,367.38222609118344,0.972618717700024,0.1292490107437647,0.2542953769302543,4.898014174478171,47.452218700475434,5.89912480221519
Generic,1019.3820944183622,0.9120902942102102,0.010407329546986126,0.07720890303248128,4.842396534922554,73.92414388020833,12.385930989583333
Generic,561.8564589968153,0.9391027599732714,0.010325101105559783,0.11583887887347463,5.173113538421185,55.47630415341813,8.057986111111111
Generic,1927.5738897058827,0.77105510399462,0.00976524017407864,0.06154420042174708,4.648513602805421,81.97255355046948,19.595899354460094
Generic,445.38871386212014,0.8799758965150594,0.012530154790091843,0.10388395619573815,4.973515974622832,57.042256887335526,7.887021998355263
Generic,1665.1297657472612,0.8383856656538062,0.008646498888275534,0.07496951287829491,4.906737595782441,80.7731298828125,14.8603955078125
